title,date,master,production,category,cast,notes,format,tags,url,encora
Heathers: The Musical,2014-05-25,SJ Bernly,Off-Broadway,video,"Barrett Wilbert Weed (Veronica Sawyer), Dan Domenech (u/s Jason ""J.D."" Dean), Charissa Hogeland (u/s Heather Chandler), Alice Lee (Heather Duke), Elle McLemore (Heather McNamara), Jon Eidson (Ram Sweeney), Evan Todd (Kurt Kelly), Katie Ladner (Martha Dunnstock), Michelle Duffy (Ms. Fleming), Anthony Crivello (Ram's Dad), Daniel Cooney (Kurt's Dad), Michelle Duffy (Veronica's Mom), Daniel Cooney (Veronica's Dad), Anthony Crivello (Big Bud Dean), Daniel Cooney (Principal Gowan), Anthony Crivello (Coach Ripper), Dustin Sullivan (Beleaguered Geek), AJ Meijer (Preppy Stud), Matthew Schatz (s/w Hipster Dork), Molly Hager (s/w New Wave Party Girl), Rachel Flynn (Stoner Chick), Cait Fairbanks (Young Republicanette), Matthew Schatz (s/w Officer McCord), AJ Meijer (Officer Milner)","A near perfect capture and the first known DVD of this shows Off-Broadway run. Barrett is incredibly talented: amazing vocals, acting and comedic timing. Dan and Charissa are both fantastic in their roles as well. The show is absolutely hysterical, much improved from the movie version. The first minute of Act One is blacked out, but the show is otherwise fully intact with no blackouts and only slight washout in a few wide shots. There is no obstruction, the video is steady, the sound is excellent, and its captured very well with the usual mix of wides, mediums, and close-ups. Its filmed in 16:9 and includes curtain call, encore, and playbill scans.",VOB + smalls - 5.73 GB,,,65
Love Never Dies,2010-06-25,house-cam,West End,video,"Ramin Karimloo (The Phantom), Sierra Boggess (Christine Daaé), Joseph Millson (Raoul de Chagny), Liz Robertson (Madame Giry), Summer Strallen (Meg Giry)",,,,,129
The Phantom of the Opera (Andrew Lloyd Webber),2013-05-09,inallyourfantasiestrading,Broadway,video,"Peter Jöback (The Phantom of the Opera), Elizabeth Welch (u/s Christine Daaé), Kyle Barisich (Raoul de Chagny), Michele McConnell (Carlotta Giudicelli), Tim Jerome (Monsieur Firmin), Richard Poole (u/s Monsieur André), Ellen Harvey (Madame Giry), Christian Šebek (Ubaldo Piangi), Kara Klein (Meg Giry)",,,,,158
The Phantom of the Opera (Andrew Lloyd Webber),1988-10-08,Unknown,Broadway,video,"Michael Crawford (The Phantom of the Opera), Dale Kristien (alt Christine Daaé), Steve Barton (Raoul de Chagny), Judy Kaye (Carlotta Giudicelli), Nick Wyman (Monsieur Firmin), Cris Groenendaal (Monsieur André), Leila Martin (Madame Giry), David Romano (Ubaldo Piangi)",,,,,168
Dear Evan Hansen,2017-06-24,SunsetBlvd79,Broadway,video,"Ben Platt (Evan Hansen), Rachel Bay Jones (Heidi Hansen), Laura Dreyfuss (Zoe Murphy), Jennifer Laura Thompson (Cynthia Murphy), Michael Park (Larry Murphy), Mike Faist (Connor Murphy), Will Roland (Jared Kleinman), Olivia Puckett (u/s Alana Beck)",,,,,217
Elisabeth,1992-08-29,pro-shot,Vienna,video,"Pia Douwes (Elisabeth), Uwe Kröger (Der Tod), Ethan Freeman (Luigi Lucheni), Viktor Gernot (Franz Joseph), Else Ludwig (Erzherzogin Sophie), Andreas Bieber (Erzherzog Rudolf), Wolfgang Pampel (Herzog Max in Bayern), Christa Wettstein (Herzogin Ludovika)",,,,,243
Kinky Boots,2017-11-00,Rumpel,Hamburg,video,"Gino Emnes (Lola), Dominik Hees (Charlie Price), Jeannine Wacker (Lauren), Benjamin Eberling (Don), Tilman Madaus (George), Franziska Schuster (Nicola), Marlon Wehmeier (Harry), Kaatje Dierks (Trish), Frank Logemann (Mr. Price), Steffi Irmen (Pat), Luther Simon (Simon Sr.), Sebastian Krolik (Richard Bailey), Fleur Alders (Milan Stage Manager), Jana Stelley (Gemma Louise), Denise Jastraunig (Maggie), Marco Heinrich (Mutt), Boris Böhringer (Hooch), Clayton Sia (Referee), Dorival Junco (Angel), Clayton Sia (Angel), Alex Snova (Angel), Pedro Batista Gonzalez (Angel), Raúl Martin Rodriguez (Angel), Tayler Davis (Angel)",,,,,296
Tanz der Vampire,2012-08-03,Unknown,St. Petersburg,video,"Ivan Ozhogin (Graf von Krolock), Vera Sveshnikova (Sarah), Georgiy Novitzkiy (Alfred), Ivan Korytov (u/s Professor Abronsius), Konstantin Kitanin (Chagal), Natalia Bogdanis (Magda), Kirill Gordeev (Herbert von Krolock), Manana Gogitidze (Rebecca)",,VOB with smalls (3.95GB),,,331
Frozen,2018-05-03,NYCG8R,Broadway,video,"Caissie Levy (Elsa), Patti Murin (Anna), Mimi Ryder (Young Elsa), Zoe Glick (Young Anna), Greg Hildreth (Olaf), Jelani Alladin (Kristoff), Andrew Pirozzi (Sven), John Riddle (Hans), Kevin Del Aguila (Oaken), Robert Creighton (Weselton), Timothy Hughes (Pabbie), Olivia Phillip (Bulda), James Brown III (King Agnarr), Ann Sanders (Queen Iduna), Wendi Bergamini (Head Handmaiden), Jacob Smith (Bishop), Tracee Beazer (Ensemble), Ashley Blanchet (Ensemble), Claire Camp (Ensemble), Lauren Nicole Chapman (Ensemble), Jeremy Davis (Ensemble), Kali Grinder (Ensemble), Zach Hess (Ensemble), Donald Jones Jr. (Ensemble), Nina Lafarga (Ensemble), Ross Lekites (Ensemble), Austin Lesch (Ensemble), Synthia Link (Ensemble), Adam Perry (Ensemble), Nicholas Ward (Ensemble), Noah J. Ricketts (Ensemble)",,VOBs + Smalls (SD) - 4.21 GB or MOVs (HD) - 8.58 GB,,,350
Anastasia,2017-09-17,NYCG8R,Broadway,video,"Christy Altomare (Anya), Derek Klena (Dmitry), Ramin Karimloo (Gleb Vaganov), John Bolton (Vlad Popov), Caroline O'Connor (Countess Lily Malevsky-Malevitch), Mary Beth Peil (Dowager Empress Maria Feodorovna), Molly Rushing (Young Anastasia), Nicole Scimeca (Little Anastasia), Constantine Germanacos (Tsar Nicholas II), Lauren Blackman (Tsarina Alexandra), Constantine Germanacos (Count Ipolitov), Nicole Scimeca (Prince Alexei Romanov), Shina Ann Morris (Tatiana Romanov), Allison Walsh (Olga Romanov), Shina Ann Morris (Dunya), Molly Rushing (Paulina), Sissy Bell (Marfa), Sissy Bell (Maria Romanov), Ken Krugman (Count Leopold), Ken Krugman (Gorlinsky), Janet Dickinson (Countess Gregory), Allison Walsh (Odette in Swan Lake), Kyle Brown (Prince Siegfried in Swan Lake), James A. Pierce III (Von Rothbart in Swan Lake), Wes Hart (Russian Doorman)",,VOB + smalls - 4.22 GB,,,369
American Psycho,2016-03-29,SunsetBlvd79,Broadway,video,"Benjamin Walker (Patrick Bateman), Jennifer Damiano (Jean), Drew Moerlein (Paul Owen), Alice Ripley (Mrs. Bateman), Alice Ripley (Mrs. Wolfe), Alice Ripley (Svetlana), Dave Thomas Brown (David Van Patten), Jordan Dean (Luis Carruthers), Anna Eilinsfeld (Victoria), Ericka Hunter Yang (Sabrina), Jason Hite (Sean Bateman), Heléne Yorke (Evelyn Williams), Ericka Hunter Yang (Video Store Clerk), Krystina Alabado (Vanden), Theo Stockman (Timothy Price), Holly James (Christine), Alex Michael Stoll (Craig McDermott), Morgan Weed Whitley (Courtney Lawrence), Alex Michael Stoll (ATM), Keith Randolph Smith (Al), Alex Michael Stoll (Tom Cruise), Keith Randolph Smith (Detective Donald Kimball), Holly James (Hardbody Trainer), Holly James (Hardbody Waitress), Krystina Alabado (Club Singer)",Excellent capture of the new dark musical transfer from the West End. Great cast and wonderful 80s style and inspired musical. A,VOB & smalls,,,373
The Bridges of Madison County,2014-03-09,SunsetBlvd79,Broadway,video,"Kelli O'Hara (Francesca Johnson), Steven Pasquale (Robert Kincaid), Hunter Foster (Bud Johnson), Cass Morgan (Marge), Michael X. Martin (Charlie), Derek Klena (Michael Johnson), Caitlin Kinnunen (Carolyn Johnson), Whitney Bashor (Marian), Whitney Bashor (Chiara)",,VOB with smalls (8.05GB),,,381
