id,title,date,master,production,category,cast,notes,format,tags,url,encora,niceDate
,Cats,2025-09-01,starsderailed,Australia (40th Anniversary),video,"Gabriyel Thomas (Grizabella), Mark Vincent (Old Deuteronomy), Mia Dabkowski-Chandler (Bombalurina), Jarrod Draper (Munkustrap), Des Flanagan (Rum Tum Tugger), Olivia Carniato (Demeter), Chaska Halliday (Cassandra), Tom Davis (Skimbleshanks), Todd McKenney (Bustopher Jones), Jake O'Brien (Mungojerrie), Dominique Hamilton (Rumpleteazer), Lucy Maunder (Jellylorum), Leigh Archer (Jennyanydots), Axel Alvarez (Mr. Mistoffelees), Edward Smith (Macavity), Rania Potaka-Osborne (Alonzo), Charlie Follows (Bill Bailey), Edward Smith (Admetus), Guy Pik (Carbucketty), Ella Fitzpatrick (Jemima), Todd McKenney (Asparagus), Axel Alvarez (Quaxo), Sarah Bourke (Tantomile), Claudia Hastings (Victoria), Joshua Gordon (Coricopat)","Wideshot phone boot taken from the circle. Blindshot, with no zooms and obstruction from two heads in front. A few dropouts due to ushers, and tilted at times. The first half of act 1 is unsettled as I got used to filming, the second half is better. Act 2 is much better; more zoomed in and focused. Washout present in both acts, but not detrimental. Axel is an excellent Misto!",MP4 (7.60GB),,MEGA,2020174,"Sep 1, 2025"
,CATS,2025-09-00,Master A,London,video,Alice; Bob,Opening night recording.,Blu-ray,premiere; 8k,https://example.com/a,1111,"September, 2025"
,Sample B,2025-08-20,Master B,Los,video,Carol,Matinee performance.,DVD,,MEGA,1111,"Aug 20, 2025"
,Gypsy,2025-08-17,AnnaJones,Fifth Broadway Revival,audio,"Audra McDonald (Rose), Danny Burstein (Herbie), Joy Woods (Louise), Jordan Tyson (June), Lesli Margherita (Tessie Tura), Mylinda Hull (Electra), Lili Thomas (Mazeppa), Marley Gomes (Baby June), Kyleigh Vickers (Baby Louise), Kevin Csolak (Tulsa), Mylinda Hull (Miss Cratchitt), Andrew Kober (Mr. Goldstone), Jacob Ming-Trent (Uncle Jocko), Thomas Silcott (Pop), James McMenamin (Pastey), Brendan Sheehan (Yonkers), James McMenamin (Weber), Dori Waymer (Agnes), Andrew Kober (Cigar), Jacob Ming-Trent (Kringelein), James McMenamin (Phil), Brandon Burks (Georgie), Zachary Daniel Jones (Angie), Aliah James (Geraldine), Summer Rae Daney (Balloon Girl), Tony d'Alelio (Little Rock), Kellie Jean Hoagland (Edna Mae), Sally Shaw (Renée), Sally Shaw (Marjorie May), Majo Rivero (Dolores), Sally Shaw (Waitress), Krystal Mackie (Thelma), Jace Bently (Carmichael), Jace Bently (Newsboy), Hunter Capellán (Newsboy), Ethan Joseph (Newsboy), Hunter Capellán (Uncle Jocko's Kiddie), Ethan Joseph (Uncle Jocko's Kiddie), Mila Jaymes (Uncle Jocko's Kiddie), Eric Williams (Uncle Jocko's Kiddie), Brendan Sheehan (Vaudeville Specialty Act), Kellie Jean Hoagland (Vaudeville Specialty Act)","A phenomenal closing performance for the show. Lady whose seat is 4 seats from house right aisle, and is coming back 5 minutes after act 2 started: 3 people to crawl over?! No, no, no. It will be far less disruptive if I make the 10 people on the other side stand up to let me in instead! Other than having to get up for that person, a perfectly fine recording! Feel free to gift/trade as you see fit, but please do not ever share/gift publicly!",MP3 (untracked) - 305 MB,,MEGA,2019262,"Aug 17, 2025"
,Cats,2025-08-01,starsderailed,Australia (40th Anniversary),audio,"Gabriyel Thomas (Grizabella), Mark Vincent (Old Deuteronomy), Mia Dabkowski-Chandler (Bombalurina), Jarrod Draper (Munkustrap), Des Flanagan (Rum Tum Tugger), Olivia Carniato (Demeter), Chaska Halliday (Cassandra), Tom Davis (Skimbleshanks), Todd McKenney (Bustopher Jones), Jake O'Brien (Mungojerrie), Savannah Lind (Rumpleteazer), Aimee Jones (Jellylorum), Leigh Archer (Jennyanydots), Axel Alvarez (Mr. Mistoffelees), Edward Smith (Macavity), Rania Potaka-Osborne (Alonzo), Charlie Follows (Bill Bailey), Edward Smith (Admetus), Guy Pik (Carbucketty), Ella Fitzpatrick (Jemima), Todd McKenney (Asparagus), Axel Alvarez (Quaxo), Sarah Bourke (Tantomile), Claudia Hastings (Victoria), Joshua Gordon (Coricopat)","Parents stop bringing your literal toddlers to musicals challenge. Old people stop singing along to the major numbers challenge. Otherwise, decent audio captured from the stalls. External audio spliced into the middle chunk of act 2 because my phone decided to stop recording.",M4A untracked (167.0MB),,MEGA,2018569,"Aug 1, 2025"
,Sunset Boulevard,2025-07-20,AnnaJones,Second Broadway Revival,audio,"Nicole Scherzinger (Norma Desmond), Pierre Marais (Joe Gillis), Sydney Jones (Betty Schaefer), Jordan Donica (Max Von Mayerling), Shavey Brown (Cecil B. DeMille), Brandon Lavar (Artie Green), Tyler Davis (Sheldrake), Hannah Yun Chamberlain (Young Norma), Shavey Brown (Finance Man), Raúl Contreras (Finance Man), Rixey Terry (Myron), Cydney Clark (Joanna), Sebastian Martinez (Sammy), Rixey Terry (Camera Operator), Shayna McPherson (Camera Operator), Shavey Brown (Camera Operator), Emma Lloyd (Mary), Emma Lloyd (Heather), Justice Moore (Jean), Rixey Terry (Jones), E.J. Hamilton (Lisa), Brandon Borkowsky (John), Jimin Moon (Hog Eye), Jimin Moon (Morino), Abby Matsusaka (Dorothy), Olivia Lacie Andrews (Nancy), Hannah Yun Chamberlain (Patsy), Shavey Brown (Stan), Cydney Clark (Guard), Shayna McPherson (Katherine), Raúl Contreras (Frank)","Extremely enthusiastic audience, to the point of excess, in my opinion. Sound of the recording is great, if you want to listen to the constant cheering, but this probably won't be my go-to when relistening to audios in the future. Includes curtain call, closing speeches, and playout. Feel free to gift/trade as you see fit, but please do not ever share/gift publicly!",MP3 (untracked) - 296 MB,,MEGA,2018089,"Jul 20, 2025"
,Sommernacht des Musicals,2025-07-19,Unknown,2025,video,"Sabrina Weckerlin (Performer), Aisata Blackman (Performer), Serkan Kaya (Performer), Ethan Freeman (Performer), Patrick Stanke (Performer)",,MP4 (HD) - 3.55 GB,,MEGA,2017604,"Jul 19, 2025"
,"Hello, Dolly!",2025-06-23,lvpblues,Transport Group Concert,audio,"Katie Finneran (Dolly Gallagher Levi), Kate Baldwin (Dolly Gallagher Levi), Alysha Umphress (Dolly Gallagher Levi), NaTasha Yvette Williams (Dolly Gallagher Levi), Barbara Walsh (Dolly Gallagher Levi), Gracie Lawrence (Dolly Gallagher Levi), Jennifer Simard (e/c Dolly Gallagher Levi), Lee Roy Reams (Dolly Gallagher Levi), Marilyn Maye (Dolly Gallagher Levi), Kecia Lewis-Evans (Dolly Gallagher Levi), Ann Harada (Dolly Gallagher Levi), J Harrison Ghee (Dolly Gallagher Levi), Thom Sesma (Horace Vandergelder), Christopher Sieber (Horace Vandergelder), Nikki Renée Daniels (Irene Molloy), Helen J. Shen (Irene Molloy), Erika Henningsen (Irene Molloy), Jessica Fontana (Irene Molloy), Hannah Elless (Irene Molloy), Andrew Barth Feldman (Cornelius Hackl), Santino Fontana (Cornelius Hackl), Grey Henson (Cornelius Hackl), Ephraim Sykes (Cornelius Hackl), Jak Malone (Barnaby Tucker), Zachary Noah Piser (Barnaby Tucker), A.J. Shively (Barnaby Tucker), Ashley D. Kelley (Minnie Fay), Samantha Williams (Minnie Fay), Anna Zavelson (Minnie Fay)",Hosted by Frank DiLella and Lee Roy Reams. Conducted by Joey Chancey. Special appearances from Sondra Lee and Jane Dorian. Gower Champion's choreography recreated for select numbers by Randy Slovacek. Captured in WAV. Tracked in mp3.,MP3 (tracked) - 361 MB,,MEGA,2016325,"Jun 23, 2025"
,A Wrinkle in Time,2025-06-01,TeamRaoulTrades,Arena Stage,video,"Taylor Iman Jones (Meg), Mateo Lizcano (Charles Wallace), Nicholas Barrón (Calvin), Amber Gray (Mrs. Whatsit), Stacey Sargeant (Mrs. Who), Vicki Lewis (Mrs. Which), Andrea Jones-Sojola (Mother), Andrea Jones-Sojola (Aunt Beast), Jon Patrick Walker (Father), Kimberly Dodson (Happy Medium), Michael Di Liberto (Man with the Red Eyes), Jayke Workman (Affirmations Man), Aidan Joyce (Camazotzian Brother), Leanne Antonio (Paper Girl), Gabrielle Rice (Beast), Kimberly Dodson (Beast), Gabrielle Rice (Ensemble), Leanne Antonio (Ensemble), Rebecca Madeira (Ensemble), Ronald Joe Williams (Ensemble), Aidan Joyce (Ensemble), Jayke Workman (Ensemble), Michael Di Liberto (Ensemble), Kimberly Dodson (Ensemble), Jon Patrick Walker (Ensemble), Andrea Jones-Sojola (Ensemble)","Shot between heads but pretty decent capture. Late previews, show probably frozen.",,,MEGA,2018317,"Jun 1, 2025"
,Les Misérables,2025-06-01,TeamRaoulTrades,Sixth US National Tour,video,"Nick Cartell (Jean Valjean), Nick Rehberger (Javert), Lindsay Heather Pearce (Fantine), Delaney Guyer (Cosette), Jake David Smith (Marius), Mya Rena Hunter (Éponine), Matt Crowle (Thénardier), Christian Mark Gibbs (Enjolras), Victoria Huston-Elem (Madame Thénardier), Jackson Parker Gill (Gavroche), Emerson Mae Chan (Little Cosette), Kyle Adams (Grantaire)","Full show, shot blind so some things are missed. First half hour of act 2 are unfortunately in blackout, but there is audio for the entire show. Some really good shots of this stop. DC had no cast board.",,,MEGA,2018318,"Jun 1, 2025"
